BIN,Brand,Type,Category,Issuer,IssuerPhone,IssuerUrl,isoCode2,isoCode3,CountryName
818681,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818682,RUPAY,DEBIT,CLASSIC,AXIS BANK,9.118E+12,http://www.axisbank.com,IN,IND,INDIA
818683,RUPAY,DEBIT,CLASSIC,AXIS BANK,9.118E+12,http://www.axisbank.com,IN,IND,INDIA
818684,RUPAY,DEBIT,CLASSIC,AXIS BANK,9.118E+12,http://www.axisbank.com,IN,IND,INDIA
818685,RUPAY,DEBIT,CLASSIC,AXIS BANK,9.118E+12,http://www.axisbank.com,IN,IND,INDIA
818686,RUPAY,DEBIT,CLASSIC,AXIS BANK,9.118E+12,http://www.axisbank.com,IN,IND,INDIA
818687,RUPAY,DEBIT,CLASSIC,AXIS BANK,9.118E+12,http://www.axisbank.com,IN,IND,INDIA
818688,RUPAY,DEBIT,CLASSIC,HDFC BANK,9.18552E+11,https://www.hdfcbank.com,IN,IND,INDIA
818689,RUPAY,DEBIT,CLASSIC,HDFC BANK,9.18552E+11,https://www.hdfcbank.com,IN,IND,INDIA
818690,RUPAY,DEBIT,CLASSIC,HDFC BANK,9.18552E+11,https://www.hdfcbank.com,IN,IND,INDIA
818691,RUPAY,DEBIT,CLASSIC,IDBI,9.12267E+11,https://idbibank.in/,IN,IND,INDIA
818692,RUPAY,DEBIT,CLASSIC,YES BANK,9.18777E+11,https://www.yesbank.in,IN,IND,INDIA
818693,RUPAY,DEBIT,CLASSIC,YES BANK,9.18777E+11,https://www.yesbank.in,IN,IND,INDIA
818694,RUPAY,DEBIT,CLASSIC,CANARA BANK,9.118E+12,https://www.canarabank.com,IN,IND,INDIA
818695,RUPAY,DEBIT,PLATINUM,CANARA BANK,9.118E+12,https://www.canarabank.com,IN,IND,INDIA
818696,RUPAY,DEBIT,CLASSIC,CANARA BANK,9.118E+12,https://www.canarabank.com,IN,IND,INDIA
818697,RUPAY,DEBIT,PLATINUM,CANARA BANK,9.118E+12,https://www.canarabank.com,IN,IND,INDIA
818698,RUPAY,DEBIT,PMJDY,CANARA BANK,9.118E+12,https://www.canarabank.com,IN,IND,INDIA
818699,RUPAY,DEBIT,CLASSIC,CANARA BANK,9.118E+12,https://www.canarabank.com,IN,IND,INDIA
818700,RUPAY,DEBIT,CLASSIC,CANARA BANK,9.118E+12,https://www.canarabank.com,IN,IND,INDIA
818701,RUPAY,DEBIT,CLASSIC,CANARA BANK,9.118E+12,https://www.canarabank.com,IN,IND,INDIA
818702,RUPAY,DEBIT,CLASSIC,HDFC BANK,9.18552E+11,https://www.hdfcbank.com,IN,IND,INDIA
818703,RUPAY,DEBIT,CLASSIC,HDFC BANK,9.18552E+11,https://www.hdfcbank.com,IN,IND,INDIA
818704,RUPAY,DEBIT,CLASSIC,HDFC BANK,9.18552E+11,https://www.hdfcbank.com,IN,IND,INDIA
818705,RUPAY,DEBIT,CLASSIC,IDBI,9.12267E+11,https://idbibank.in/,IN,IND,INDIA
818706,RUPAY,DEBIT,CLASSIC,IDBI,9.12267E+11,https://idbibank.in/,IN,IND,INDIA
818707,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818708,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818709,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818710,RUPAY,DEBIT,CLASSIC,KALLAPPANNA AWADE ICHALKARANJI JANATA SAHAKARI BANK,,,IN,IND,INDIA
818711,RUPAY,DEBIT,PLATINUM,KALLAPPANNA AWADE ICHALKARANJI JANATA SAHAKARI BANK,,,IN,IND,INDIA
818712,RUPAY,DEBIT,CLASSIC,KARNATAKA BANK,,,IN,IND,INDIA
818713,RUPAY,DEBIT,PMJDY,KARNATAKA BANK,,,IN,IND,INDIA
818714,RUPAY,DEBIT,CLASSIC,KARNATAKA BANK,,,IN,IND,INDIA
818715,RUPAY,DEBIT,CLASSIC,KARNATAKA STATE CO-OPERATIVE APEX BANK,,,IN,IND,INDIA
818716,RUPAY,DEBIT,CLASSIC,KARNATAKA STATE CO-OPERATIVE APEX BANK,,,IN,IND,INDIA
818717,RUPAY,DEBIT,CLASSIC,KARUR VYSYA BANK,,,IN,IND,INDIA
818718,RUPAY,DEBIT,CLASSIC,KARUR VYSYA BANK,,,IN,IND,INDIA
818719,RUPAY,DEBIT,PMJDY,KARUR VYSYA BANK,,,IN,IND,INDIA
818720,RUPAY,DEBIT,PREPAID RELOADABLE,KARUR VYSYA BANK,,,IN,IND,INDIA
818721,RUPAY,DEBIT,CLASSIC,ODISHA STATE CO-OPERATIVE BANK,,,IN,IND,INDIA
818722,RUPAY,DEBIT,CLASSIC,AXIS BANK,9.118E+12,http://www.axisbank.com,IN,IND,INDIA
818723,RUPAY,DEBIT,CLASSIC,YES BANK,9.18777E+11,https://www.yesbank.in,IN,IND,INDIA
818724,RUPAY,DEBIT,PLATINUM,YES BANK,9.18777E+11,https://www.yesbank.in,IN,IND,INDIA
818725,RUPAY,DEBIT,PLATINUM,HDFC BANK,9.18552E+11,https://www.hdfcbank.com,IN,IND,INDIA
818726,RUPAY,DEBIT,CLASSIC,IDBI,9.12267E+11,https://idbibank.in/,IN,IND,INDIA
818727,RUPAY,DEBIT,CLASSIC,IDBI,9.12267E+11,https://idbibank.in/,IN,IND,INDIA
818728,RUPAY,DEBIT,CLASSIC,ODISHA STATE CO-OPERATIVE BANK,,,IN,IND,INDIA
818729,RUPAY,DEBIT,CLASSIC,HDFC BANK,9.18552E+11,https://www.hdfcbank.com,IN,IND,INDIA
818730,RUPAY,DEBIT,CLASSIC,HDFC BANK,9.18552E+11,https://www.hdfcbank.com,IN,IND,INDIA
818731,RUPAY,DEBIT,CLASSIC,IDBI,9.12267E+11,https://idbibank.in/,IN,IND,INDIA
818732,RUPAY,DEBIT,CLASSIC,IDBI,9.12267E+11,https://idbibank.in/,IN,IND,INDIA
818733,RUPAY,DEBIT,CLASSIC,IDBI,9.12267E+11,https://idbibank.in/,IN,IND,INDIA
818734,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818735,RUPAY,DEBIT,CLASSIC,HDFC BANK,9.18552E+11,https://www.hdfcbank.com,IN,IND,INDIA
818736,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818737,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818738,RUPAY,DEBIT,CLASSIC,STATE BANK OF INDIA,9.118E+11,https://sbi.co.in,IN,IND,INDIA
818739,RUPAY,DEBIT,CLASSIC,YES BANK,9.18777E+11,https://www.yesbank.in,IN,IND,INDIA
818740,RUPAY,DEBIT,PREPAID,,,,IN,IND,INDIA
818741,RUPAY,DEBIT,PREPAID RELOADABLE,,,,IN,IND,INDIA
818742,RUPAY,DEBIT,CLASSIC,IDBI,9.12267E+11,https://idbibank.in/,IN,IND,INDIA
818743,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818744,RUPAY,DEBIT,CLASSIC,AXIS BANK,9.118E+12,http://www.axisbank.com,IN,IND,INDIA
818745,RUPAY,DEBIT,CLASSIC,YES BANK,9.18777E+11,https://www.yesbank.in,IN,IND,INDIA
818746,RUPAY,DEBIT,CLASSIC,FEDERAL BANK,9.118E+12,https://www.federalbank.co.in,IN,IND,INDIA
818747,RUPAY,DEBIT,PMJDY,FEDERAL BANK,9.118E+12,https://www.federalbank.co.in,IN,IND,INDIA
818748,RUPAY,DEBIT,CLASSIC,HDFC BANK,9.18552E+11,https://www.hdfcbank.com,IN,IND,INDIA
818749,RUPAY,DEBIT,CLASSIC,HDFC BANK,9.18552E+11,https://www.hdfcbank.com,IN,IND,INDIA
818750,RUPAY,DEBIT,CLASSIC,HDFC BANK,9.18552E+11,https://www.hdfcbank.com,IN,IND,INDIA
818751,RUPAY,DEBIT,CLASSIC,HDFC BANK,9.18552E+11,https://www.hdfcbank.com,IN,IND,INDIA
818752,RUPAY,DEBIT,CLASSIC,HDFC BANK,9.18552E+11,https://www.hdfcbank.com,IN,IND,INDIA
818753,RUPAY,DEBIT,CLASSIC,IDBI,9.12267E+11,https://idbibank.in/,IN,IND,INDIA
818754,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818755,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818756,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818757,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818758,RUPAY,DEBIT,CLASSIC,ICICI BANK,9.18664E+11,https://www.icicibank.com,IN,IND,INDIA
818759,RUPAY,DEBIT,CLASSIC,BANK OF MAHARASHTRA,9.118E+12,http://www.bankofmaharashtra.in,IN,IND,INDIA
